taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Tree Swallow,,,,Tree Swallow,Common,ITIS,178431,Tree Swallow,
Lesser Goldfinch,,,,Lesser Goldfinch,Common,ITIS,179254,Lesser Goldfinch,
Blue-gray Gnatcatcher,,,,Blue-gray Gnatcatcher,Common,ITIS,179853,Blue-gray Gnatcatcher,
Black Phoebe,,,,Black Phoebe,Common,ITIS,178330,Black Phoebe,
Vireo,,,,,,,,,
Gadwall,,,,Gadwall,Common,ITIS,1192581,Gadwall,
Sage Sparrow,,,,Sage Sparrow,Common,ITIS,997724,Sage Sparrow,
Ladder-backed Woodpecker,,,,Ladder-backed Woodpecker,Common,ITIS,1145275,Ladder-backed Woodpecker,
Cooper's Hawk,,,,Cooper's Hawk,Common,ITIS,175309,Cooper's Hawk,
Orange-crowned Warbler,,,,Orange-crowned Warbler,Common,ITIS,950015,Orange-crowned Warbler,
Common Ground-Dove,,,,Common Ground-Dove,Common,ITIS,177152,Common Ground-Dove,
Dark-eyed Junco,,,,Dark-eyed Junco,Common,ITIS,179410,Dark-eyed Junco,
Harris's Hawk,,,,Harris's Hawk,Common,ITIS,175397,Harris's Hawk,
American Coot,,,,American Coot,Common,ITIS,176292,American Coot,
Swainson's Hawk,,,,Swainson's Hawk,Common,ITIS,175367,Swainson's Hawk,
Horned Lark,,,,Horned Lark,Common,ITIS,554256,Horned Lark,
Northern Cardinal,,,,Northern Cardinal,Common,ITIS,179124,Northern Cardinal,
Hermit Thrush,,,,Hermit Thrush,Common,ITIS,179779,Hermit Thrush,
Black-crowned Night-Heron,,,,Black-crowned Night-Heron,Common,ITIS,174832,Black-crowned Night-Heron,
Cattle Egret,,,,,,,,,
Pied-billed Grebe,,,,Pied-billed Grebe,Common,ITIS,174505,Pied-billed Grebe,
Osprey,,,,,,,,,
Belted Kingfisher,,,,Belted Kingfisher,Common,ITIS,178106,Belted Kingfisher,
Common Gallinule,,,,,,,,,
Great Egret,,,,Great Egret,Common,ITIS,554135,Great Egret,
Green Heron,,,,Green Heron,Common,ITIS,174793,Green Heron,
Marsh Wren,,,,Marsh Wren,Common,ITIS,178608,Marsh Wren,
